Type	| Malware	| Hash(SHA256)
----------------------------------------------------------------------------------------------------------------
Android	| Anubis	| 0067771d350cc8bd376b9356fa1ffc61b070f09fcb789241de8ab107055535e1
Android	| Anubis	| 1020e3755960213e60e9e6fd4546bdaa695f25920015208c53ba86097d8ad28f
Android	| Anubis	| 10c107e0dab9018706885918ebc8a18e22eb888c11a5df04f5c1e3d0dc9964c7
Android	| Anubis	| 169fb98196a9307c8f7a1c10bd2610ab0c25f9c24784243cd7925281ead3b590
Android	| Anubis	| 26fe3ec826a8d717b1bcc1755f518ad8baadfc98420a869cd9810d6067d78ee6
Android	| Anubis	| 4e93f54de8fa47970b24c6df167073bec39cae3ad839111de2a2544e0a5caa1b
Android	| Anubis	| 669e5bc3e1117a229aeeadb37a740aaee3a5ee4e07f6f789518c3716e3fd7a33
Android	| Anubis	| 67b889c1997ec3c8f44471006e61d8f6fab18127ab22900f8c24b0ef9e7ad634
Android	| Anubis	| 7b7fd41d5a2f5bb19228a7d9334a474b90d9d8748c70df9dc759868b7556b59f
Android	| Anubis	| 7d66a2297ac76c1ee2acef6757af1440b2e08f36981c47bf7a457ca249aef4bf
Android	| Anubis	| e250a37d9cbd4d223ee9a14ceddfc85e33b1acf542e31f8e3fbc8ca0f212c38c
Android	| Anubis	| e4fd43b782b5288f7bc6ebffbed44fd88bb54afa144737e451269eca19296a01
Android	| Anubis	| f12174a1afc51242443f0c33f69754d532d687d4485e37bc01b34d8cb4094da1
Android	| Anubis	| fe2e8b115b3ffc2f3ab668c08c67b21afa6761426cef1c6a99f6cb9074d8076f
Android	| BlackRock	| 03c0951d7f5cc3e32d2c7a168ef42c8d06f91608c0938d14685557548b265cdf
Android	| BlackRock	| 14bd0b145d3d94fa4e5a1213640f39713b055fbde4c069bb791523e5157ae5ef
Android	| BlackRock	| 1d42189e479653ee9f99f087eae68b0968dda6801059f5e113465407bbb89fc4
Android	| BlackRock	| 26aff84d561b16d74f3ac2b5e519b0bd72181661dba84388efe3205a7ca412b3
Android	| BlackRock	| 38e3c85469e60224c14c352b327119ff4b2f6485d56b62e559717714a4d0bd5a
Android	| BlackRock	| 3b7bb6243c0af8117e677ef5b55f7e6631ae17e35538189a80bf574d4a8d5f40
Android	| BlackRock	| 3e1dc4b88775d34e00f33092cd8532404e006e08683b78c9091242598ee65f55
Android	| BlackRock	| 6985e6fb3aac7173196854a5f68fefd3481dc18ed5cd1bf34b68bfe289d8d1e2
Android	| BlackRock	| 6e14f02b170bae84c18f765834235df70d22a57439345e6c2301035141593df8
Android	| BlackRock	| 761f7e4552919f1ffb3af80385edd5131af3fa87e5453d5496ca3d9e9fce695e
Android	| BlackRock	| 81a6a9c95ccc11a2ee061c7dc6e9fb0dd676f5556d9f57e9292a29b5cfa5f313
Android	| BlackRock	| b2398a3efc449f47f48beb1b526df364c450756bd5379aded0e74857650003ff
Android	| BlackRock	| c55ebbc25a271f4b0e12b0cfd2c8f5cfd21bc4497e771bed255223f7052516f7
Android	| BlackRock	| c7500c0eca52769382efd9cb9c6f87432418d048ff26177e95d4f533ed21aba6
Android	| Cerberus	| 12fa6398d09b94fd6b357f2565097189fc181707e1b6fdb9fd85048aeaaa5418
Android	| Cerberus	| 1cf8bae0aa300ca3aa2f067859869732f4d779ef7d7947d623605512eda1408e
Android	| Cerberus	| 2a9a368b0308e03e721d14e6de9e8e70a4dd555d329b7143e3affe8c7f627e07
Android	| Cerberus	| 48d3387a87d0553bf792cac36a138b6f6a44c1ae02afb425fc5eb814be78f14f
Android	| Cerberus	| 6fc82bb518628ad6316e35b0f8be453ec5be2c36958451dd42aeb5e5fe04cb0a
Android	| Cerberus	| 7c5b0c04c6e19de713778e84ef487de8797a89764e7931bee35ffe1197bbd1cf
Android	| Cerberus	| 963d267243e8bd654ad73f68c5259b5318e570aae09cfc68e935d3acd66f7410
Android	| Cerberus	| 991dcc73166004ef229e3f3cdbf53fad93b48f97756fd2182ae07af39a1a12bc
Android	| Cerberus	| a9f7ace0b80b4fd14425824c39cb786e2352ac2b702fc5b73167d886323485d9
Android	| Cerberus	| b4e6047e4fb47f210f0db80d79ad73b0d3df15ebaea8626be8a9b4179f4b7591
Android	| Cerberus	| ca6c93baecdc5a94e929942b1613d07133ae8456c27790ecdb9ea56769664b66
Android	| Cerberus	| f136262d24866ef9dfd6c2411a6564a9acec2fa8a0d5b3b12ab25b837497d70c
Android	| EventBot	| 195decaf4539052cb4c3929a4f3c3ddd58cbba6abd465976d4bb30dec9c1d9f2
Android	| EventBot	| 1a8c17ad1a790554278b055bdb946d4597ba9af6be3611ee6311b90c7f7848c5
Android	| EventBot	| 1dbd8a60ee60f9a5fad89dbe5b7078bafeb8507aa718672ef6d0c7fe9723e038
Android	| EventBot	| 1dd8421264859e4aa7010baea647730220f28d8a4edcda56a49dc8cb4d60d3da
Android	| EventBot	| 1f5e3e5465c6d10ea80960a908dd75c123a295a4a49edf593f458a6253a3b773
Android	| EventBot	| 312350cbd3ab9bf23fcab983b354d314a7338fc7381973c3fd2b1827fe51de53
Android	| EventBot	| 4cff51a7d0a631ffb24fedeb7cf01df086dcd04f8be095850058b527730bc275
Android	| EventBot	| 7b2a911b186dbc894e14a55f5f3106a51b3ea52bc4408201aec0a1cb7a7d1d57
Android	| EventBot	| 7edba95be2de45ba04fcc8ae3cc97e40b46885d9761f74e25a35a189ab452a97
Android	| EventBot	| c1e25ebae1170b922d23c237d18966f8542503445cfefb0e652b7fb1e3c67979
Android	| EventBot	| c82da4c18cf2411706cb99c385d87d58cbe8e28c3fe17d1739e4b28bcdc7f7b1
Android	| EventBot	| d0c716b02f17a9b72788b0d1d84dacaa906dffd5ef13bccd07930a8bc6a2a4f4
